mun_key,name,prod,plant_id,dist_km,cost
valverde de llerena,Valverde de Llerena,357.0000,10,28.3102,13.8901
palomas,Palomas,350.5000,9,40.6392,13.3092
trasierra,Trasierra,345.5000,10,6.9134,8.5409
valencia de las torres,Valencia de las Torres,343.5000,10,23.7059,12.7391
garlitos,Garlitos,340.5000,11,20.6672,13.3479
rena,Rena,334.5000,3,16.8589,7.9389
malpartida de la serena,Malpartida de la Serena,331.0000,6,11.8854,10.9561
peraleda del zaucejo,Peraleda del Zaucejo,304.0000,6,41.3400,18.3198
magacela,Magacela,303.5000,3,12.5032,6.8500
entrn bajo,Entrín Bajo,301.0000,9,39.2350,12.9581
villarta de los montes,Villarta de los Montes,293.5000,11,117.1307,37.4638
carmonita,Carmonita,290.5000,14,39.1539,13.3549
cristina,Cristina,281.0000,3,34.6125,12.3773
hinojosa del valle,Hinojosa del Valle,279.0000,9,32.5842,11.2954
garbayuela,Garbayuela,273.5000,11,15.1058,11.9576
puebla del prior,Puebla del Prior,272.5000,9,27.9227,10.1301
retamal de llerena,Retamal de Llerena,250.5000,6,35.9398,16.9698
mengabril,Mengabril,243.5000,3,11.6365,6.6333
malcocinado,Malcocinado,224.5000,10,54.9020,20.5381
valle de matamoros,Valle de Matamoros,211.5000,5,40.5967,18.1027
zarzacapilla,Zarza-Capilla,201.5000,7,12.8817,14.9599
higuera de llerena,Higuera de Llerena,176.5000,10,19.9945,11.8112
baterno,Baterno,176.0000,11,17.1362,12.4652
atalaya,Atalaya,169.0000,5,4.3305,9.0361
valverde de burguillos,Valverde de Burguillos,161.0000,5,9.3381,10.2880
orellana de la sierra,Orellana de la Sierra,155.5000,3,31.0686,11.4914
lapa,Lapa. La,148.0000,9,20.7651,8.3407
tamurejo,Tamurejo,129.5000,11,15.3650,12.0224
aljucn,Aljucén,126.0000,14,23.9406,9.5516
sanctispritus,Sancti-Spíritus,118.5000,11,8.1227,10.2118
reina,Reina,100.5000,10,11.1755,9.6065
casas de reina,Casas de Reina,98.0000,10,8.3430,8.8983
capilla,Capilla,93.5000,11,33.8187,16.6358
risco,Risco,83.0000,11,11.7314,11.1140
carrascalejo,Carrascalejo. El,168.5000,27,55.6994,20.0021
