mun,transport,total,prod,treatment
san pedro de mrida,8.141,12.210512688292376,440.0,4.069512688292376
san vicente de alcntara,5.1975,13.827107084612548,2904.0,8.629607084612548
sanctispritus,2.841999999999999,11.46776105874807,118.5,8.625761058748072
santa amalia,7.005758160624366,10.621946454741451,2163.0,3.6161882941170846
santa ana,10.122336630741783,18.330289784993646,149.5,8.207953154251863
santa cruz de la sierra,5.378935905767563,13.755928508853469,135.0,8.376992603085906
santa cruz de paniagua,8.162104146565797,16.663601139695757,157.5,8.50149699312996
santa marta,11.462499999999999,15.691798382382553,2161.0,4.229298382382554
santa marta de magasca,10.638201983665317,19.01519458675122,154.5,8.376992603085904
santiago de alcntara,9.4535,18.08310708461255,342.5,8.62960708461255
santiago del campo,6.416249053231189,10.032997080956926,153.5,3.6167480277257376
santibez el alto,4.0775,12.901539496237394,218.0,8.824039496237393
santibez el bajo,10.699499999999999,17.261327228464936,414.5,6.561827228464937
santos de maimona los,4.8755,9.104798382382553,4096.5,4.229298382382553
saucedilla,2.3717002113573633,8.84511941390316,402.0,6.473419202545796
segura de len,3.9759999999999995,12.817793952739184,1070.0,8.841793952739184
segura de toro,3.2233473234573187,11.667487576313787,93.0,8.444140252856469
serradilla,1.7926052576042626,22.171543729817376,883.0,20.378938472213115
serrejn,4.7775,11.287368937200924,222.0,6.509868937200924
sierra de fuentes,7.567581818071795,11.071566761385666,1042.5,3.5039849433138714
siruela,1.2914999999999999,9.917261058748071,1096.0,8.625761058748072
solana de los barros,9.674,13.743512688292375,1413.0,4.069512688292376
talarrubias,56.25313825640599,61.37808875886467,1815.0,5.124950502458681
talavera la real,2.6947793218605223,8.748703376672054,2754.5,6.053924054811532
talaveruela de la vera,6.481999999999999,13.043827228464938,182.5,6.561827228464939
talavn,8.8585,36.96449703010832,461.5,28.10599703010832
talayuela,1.926242776169585,8.412898872434877,4611.0,6.486656096265292
tamurejo,5.506956294214951,14.10950697721956,129.5,8.602550683004608
tejeda de titar,5.9639999999999995,12.525827228464937,443.5,6.561827228464938
tliga,8.099,14.755468914895406,400.5,6.656468914895406
toril,4.403865467659484,10.776491950220004,89.5,6.37262648256052
tornavacas,7.603832584790398,13.756764959141512,590.5,6.1529323743511135
torno el,9.674,16.235827228464938,494.0,6.561827228464939
torre de don miguel,6.0775570013478255,14.97979196379486,284.0,8.902234962447034
torre de miguel sesmero,21.124158334529394,26.429746171229468,628.5,5.305587836700074
torre de santa mara,2.8102718796265034,11.626275742032641,316.0,8.816003862406138
torrecilla de los ngeles,7.0104999999999995,15.834539496237394,343.5,8.824039496237393
torrecillas de la tiesa,6.471499999999999,14.848492603085903,589.5,8.376992603085904
torrejn el rubio,7.696499999999999,29.856950864560446,307.0,22.160450864560445
torrejoncillo,10.230160679559921,16.7744430866936,1669.0,6.5442824071336805
torremayor,8.092,12.161512688292376,502.0,4.069512688292376
torremeja,5.624499999999999,9.694012688292375,1114.0,4.069512688292376
torremenga,2.464704304326123,20.298623854395576,310.5,17.833919550069453
torremocha,6.849271816285284,15.679358205999533,519.0,8.83008638971425
torreorgaz,8.527116907058438,12.031101850372309,882.0,3.5039849433138706
torrequemada,8.908187425583543,16.83081431454854,302.0,7.922626888964997
trasierra,2.4185,9.096878921613916,345.5,6.678378921613916
trujillanos,5.819277650236125,9.88866432757807,719.5,4.069386677341945
trujillo,2.933955409416194,11.238785872942692,4911.0,8.304830463526498
usagre,8.886189767718518,15.998968180326184,978.0,7.112778412607666
valdastillas,6.651273401273512,13.213100629738449,190.0,6.561827228464937
valdecaas de tajo,12.6455,19.155368937200922,59.5,6.509868937200922
valdecaballeros,24.75960283788229,31.973305814933624,609.0,7.213702977051334
valdefuentes,3.6339336637127904,12.45535974851703,707.5,8.821426084804239
valdehncar,3.472,9.981868937200923,106.0,6.509868937200924
valdelacalzada,9.03148899713253,11.819661798437073,1402.0,2.788172801304542
valdelacasa de tajo,14.377999999999998,20.88786893720092,227.5,6.509868937200922
valdemorales,6.0235,14.862643537535206,115.0,8.839143537535206
valdeobispo,5.117816061664826,12.947685334597562,380.5,7.829869272932736
valdetorres,9.832891529749581,13.449079823866667,665.5,3.6161882941170855
valencia de alcntara,0.9064999999999999,9.536107084612548,3089.0,8.629607084612548
valencia de las torres,8.2985,14.976878921613917,343.5,6.678378921613916
valencia del mombuey,24.216499999999996,31.32279372153364,391.0,7.106293721533643
valencia del ventoso,6.367029603369174,13.455447928742329,1124.5,7.088418325373155
valle de la serena,10.712403408108903,18.92377718789924,712.5,8.211373779790337
valle de matamoros,14.209999999999999,21.31629372153364,211.5,7.106293721533641
valle de santa ana,17.673854806952374,21.893833090969316,596.0,4.219978284016943
valverde de burguillos,3.2689999999999997,10.375293721533641,161.0,7.106293721533641
valverde de la vera,9.11902476321688,22.48827250322584,294.0,13.36924774000896
valverde de legans,3.7485,10.404968914895406,2077.5,6.656468914895406
valverde de llerena,9.908499999999998,16.586878921613916,357.0,6.678378921613918
valverde de mrida,9.7685,13.838012688292375,579.5,4.069512688292376
valverde del fresno,16.853009782433034,25.888192104335563,1254.5,9.035182321902528
viandar de la vera,7.901214552171126,14.775520263407868,133.0,6.874305711236742
villa del campo,4.951106237342414,13.49260218975207,277.5,8.541495952409655
villa del rey,3.1254999999999997,12.984412227985679,78.5,9.85891222798568
villafranca de los barros,3.8210800171885277,10.88774533010673,6678.0,7.066665312918202
villagarca de la torre,13.0025,20.14200954108672,493.0,7.139509541086719
villagonzalo,11.92267496914484,15.538863263261923,674.0,3.6161882941170838
villalba de los barros,5.233802979013554,9.46246378621363,827.0,4.228660807200077
villamesas,5.260328006354925,14.06990131184981,155.5,8.809573305494885
villamiel,13.244487440245871,22.057289860966343,337.5,8.812802420720471
villanueva de la serena,4.471849583180188,8.088037877297273,12919.0,3.6161882941170846
villanueva de la sierra,6.942822936100642,15.502712373999875,257.0,8.559889437899233
villanueva de la vera,8.055628250821293,15.31958188263184,1054.0,7.263953631810548
villanueva del fresno,14.82555815556128,21.47921658809925,1839.0,6.653658432537968
villar de plasencia,7.579729590557724,12.791260448572704,114.5,5.21153085801498
villar de rena,6.889867631425358,10.506055925542444,728.5,3.6161882941170864
villar del pedroso,17.3635,23.873368937200922,336.5,6.509868937200924
villar del rey,9.698934838955443,12.482248213840679,1193.0,2.7833133748852354
villarta de los montes,40.99549999999999,49.62126105874806,293.5,8.625761058748068
villasbuenas de gata,15.999690276125278,22.07802034527091,228.0,6.078330069145633
zafra,4.909926907833916,9.13724977963007,8212.0,4.2273228717961535
zahnos,17.087,23.743468914895406,1453.0,6.656468914895406
zalamea de la serena,5.934131636305264,14.200712959693146,1989.0,8.266581323387882
zarza de granadilla,4.833537709589681,16.589430539573527,932.0,11.755892829983846
zarza de montnchez,6.4959999999999996,15.335143537535206,309.5,8.839143537535207
zarza la,10.6365,14.706012688292375,1781.5,4.069512688292376
zarza la mayor,4.5312234816098345,22.08129033485365,704.5,17.550066853243816
zarzacapilla,4.508,15.969790164954524,201.5,11.461790164954525
zorita,8.04032413601432,16.74371759228397,836.5,8.703393456269652
