municipio,poblacion,km2,densidad,provincia,planta_id,planta_municipio,distancia_km,produccion_t,tkm,C_trans,C_trat,C_fix_unit,C_tot
Montijo,16236,119.68,135.66,Badajoz,4,Talavera la Real,26.09,8118.0,211797.26,9.13,6.83,6.48,15.96
Zarza-Capilla,403,92.01,4.38,Badajoz,7,Cabeza del Buey,12.88,201.5,2595.66,4.51,11.44,11.09,15.95
Torremocha,1038,63.83,16.26,CÂ ceres,41,Montánchez,20.32,519.0,10544.11,7.11,8.8,8.45,15.91
Torrecilla de los Ángeles,687,43.29,15.87,CÂ ceres,31,Cadalso,20.03,343.5,6878.68,7.01,8.81,8.46,15.82
Valdetorres,1331,39.69,33.53,Badajoz,3,Don Benito,28.46,665.5,18937.59,9.96,5.83,5.48,15.79
Maguilla,1084,97.87,11.08,Badajoz,10,Llerena,26.08,542.0,14136.37,9.13,6.66,6.31,15.79
Mata de Alcántara,330,33.5,9.85,CÂ ceres,44,Brozas,16.74,165.0,2761.56,5.86,9.9,9.55,15.76
Nogales,724,80.66,8.98,Badajoz,9,Fuente del Maestre,32.96,362.0,11932.17,11.54,4.22,3.87,15.75
Puebla de Alcocer,1272,296.72,4.29,Badajoz,11,Siruela,21.42,636.0,13620.62,7.5,8.2,7.85,15.7
Valverde de la Vera,588,46.95,12.52,CÂ ceres,22,Cabezuela del Valle,19.65,294.0,5776.06,6.88,8.81,8.46,15.69
Santa Marta,4322,119.73,36.1,Badajoz,9,Fuente del Maestre,32.75,2161.0,70766.44,11.46,4.22,3.87,15.68
Palomas,701,40.52,17.3,Badajoz,1,Ribera del Fresno,20.29,350.5,7112.94,7.1,8.5,8.15,15.6
Valdastillas,380,8.1,46.91,CÂ ceres,22,Cabezuela del Valle,19.27,190.0,3661.89,6.75,8.81,8.46,15.56
Villar de Plasencia,229,24.99,9.16,CÂ ceres,22,Cabezuela del Valle,19.26,114.5,2205.71,6.74,8.81,8.46,15.56
Almendral,1307,67.5,19.36,Badajoz,13,Olivenza,25.56,653.5,16704.47,8.95,6.59,6.24,15.53
Peraleda de la Mata,1453,92.06,15.78,CÂ ceres,27,Navalmoral de la Mata,20.26,726.5,14718.23,7.09,8.41,8.06,15.5
Garlitos,681,129.32,5.27,Badajoz,11,Siruela,20.67,340.5,7037.19,7.23,8.2,7.85,15.44
Rebollar,237,11.51,20.59,CÂ ceres,22,Cabezuela del Valle,18.79,118.5,2226.87,6.58,8.81,8.46,15.39
Bohonal de Ibor,535,64.6,8.28,CÂ ceres,27,Navalmoral de la Mata,19.95,267.5,5335.67,6.98,8.41,8.06,15.39
Arroyomolinos de la Vera,497,23.19,21.43,CÂ ceres,22,Cabezuela del Valle,18.57,248.5,4613.78,6.5,8.81,8.46,15.31
Talaveruela de la Vera,365,21.34,17.1,CÂ ceres,22,Cabezuela del Valle,18.52,182.5,3380.08,6.48,8.81,8.46,15.3
Zarza de Montánchez,619,36.82,16.81,CÂ ceres,41,Montánchez,18.56,309.5,5743.85,6.5,8.8,8.45,15.29
Torrecillas de la Tiesa,1179,139.55,8.45,CÂ ceres,19,Trujillo,18.49,589.5,10897.68,6.47,8.81,8.46,15.28
Puebla del Maestre,777,79.17,9.81,Badajoz,10,Llerena,24.45,388.5,9500.5,8.56,6.66,6.31,15.22
Berzocana,528,133.59,3.95,CÂ ceres,45,Logrosán,18.53,264.0,4891.62,6.49,8.69,8.34,15.18
Villanueva de la Sierra,514,43.62,11.78,CÂ ceres,25,Montehermoso,18.67,257.0,4798.76,6.54,8.64,8.29,15.17
Gata,1662,94.18,17.65,CÂ ceres,31,Cadalso,18.15,831.0,15080.48,6.35,8.81,8.46,15.17
Calzadilla,485,76.34,6.35,CÂ ceres,20,Moraleja,18.0,242.5,4364.12,6.3,8.73,8.38,15.03
Herguijuela,366,41.97,8.72,CÂ ceres,19,Trujillo,17.73,183.0,3244.06,6.2,8.81,8.46,15.02
Viandar de la Vera,266,28.0,9.5,CÂ ceres,22,Cabezuela del Valle,17.64,133.0,2345.96,6.17,8.81,8.46,14.99
Valencia de las Torres,687,210.22,3.27,Badajoz,10,Llerena,23.71,343.5,8142.99,8.3,6.66,6.31,14.96
Fuentes de León,2571,109.86,23.4,Badajoz,8,Fregenal de la Sierra,17.39,1285.5,22349.27,6.08,8.84,8.49,14.93
Roca de la Sierra. La,1526,109.6,13.92,Badajoz,18,Badajoz,34.59,763.0,26388.51,12.1,2.8,2.45,14.9
Navas del Madro¤o,1444,112.29,12.86,CÂ ceres,44,Brozas,14.25,722.0,10287.15,4.99,9.9,9.55,14.89
