origin,beta_max,beta_min,beta_mean,beta_median,n_dest,alpha,alpha_near,municipio,misallocated,utm_x,utm_y
Torrejoncillo,1.6475144332978096,1.0802227111568454,1.2598587905901673,1.2232730592776961,42,1.5251618173565644,1.5251618173565644,Torrejoncillo,1,203771.846229836,4422297.93994547
Hoyos,1.7498502767483914,1.1488235180378275,1.2991988238441983,1.2645782958052667,42,1.5231671786603989,1.3687627354735719,Hoyos,1,183265.869928794,4453538.00650102
Valdetorres,1.785554223232338,1.1793645308847758,1.3408760730409899,1.2892758612042639,42,1.5139968826201602,1.0189283956783624,Valdetorres,0,234068.148568638,4312012.22747101
"Cumbre, La",1.646643823022257,1.0880585562529603,1.3265334598419067,1.3077690494563512,42,1.5133779460298022,1.5133779460298022,,0,,
Montehermoso,1.6770139195622744,1.1086980464572194,1.2826134626276602,1.2701309559302947,42,1.5125975236639728,1.2149380795967482,Montehermoso,0,214541.463959952,4442978.89011619
Eljas,1.7706890727819642,1.1738536196957179,1.3170627603358454,1.2644077808583511,42,1.5084411233838133,1.3402075982630575,Eljas,1,172858.586380015,4459087.8575715
Monroy,1.7580600124172854,1.1663270388220015,1.3838283023985878,1.3878196690652378,42,1.5073473853379395,1.11091736257997,Monroy,0,224533.575338051,4392551.16427245
Puebla de la Reina,1.6898818436678453,1.121110187495577,1.2873538503863498,1.2406256580903323,42,1.5073289517088724,1.1717006436598127,Puebla de la Reina,0,230165.878876168,4284206.44688934
Badajoz,1.6115116471765663,1.0755334302787993,1.1914953902231076,1.157829393135583,42,1.498337105857166,1.4496479267905844,Badajoz,0,155505.148063854,4310470.30608031
Garbayuela,1.6318759983206403,1.0907379585757042,1.334849153463052,1.2634922637591801,42,1.4961210302532784,1.0843234073650931,Garbayuela,0,327246.742800876,4324276.12668639
Navalvillar de Ibor,1.8341219643807407,1.2271620752319081,1.3927037384091492,1.3320388448535092,42,1.4946045036749769,1.3810660407909299,Navalvillar de Ibor,0,292978.017186314,4384394.24611259
Trujillanos,1.598459814992988,1.0696325639360151,1.2652689065349252,1.2270399908351695,42,1.4944008521122465,1.1321556579304182,Trujillanos,0,217635.776352278,4316503.63598875
Guadalupe,1.7649267728657574,1.1818122801954751,1.331013755104315,1.2553132647792724,42,1.4934070346382198,1.1299367363677741,Guadalupe,0,299947.767244499,4369674.69696705
Malcocinado,1.6109623244589863,1.0812932579057288,1.2281303253576175,1.2076046759914143,42,1.4898477472976495,1.3797181852948448,Malcocinado,0,264050.042812532,4222928.581465
