municipio,voronoi_plant_raw,voronoi_plant,d_euclidean,network_plant_raw,network_plant,d_network,beta_assigned,misallocated,_norm,beta_mum_mean,beta_mum_std,beta_mum_min,beta_mum_max,n_pairs,utm_x,utm_y,bym2_log_beta_pred,bym2_beta_pred
Valencia de las Torres,10,10,19695.19747107138,10,10,23705.9272609,1.2036399886682854,0,valencia de las torres,1.2537637108230015,0.081188809033845,1.076087280964361,1.6795866510804682,300.0,237793.73442067,4254945.70489405,0.42607063472861495,1.5312289292533492
Garlitos,11,11,11045.10182224977,11,11,20667.2245175,1.871166499874811,0,garlitos,1.417953275754112,0.2095811643777246,1.2094993666016267,3.1880864570655225,300.0,322497.035622686,4305626.62060681,0.4678753729635671,1.5965984109591043
Rena,38,36,13453.628722671345,17,3,16858.8660717,1.2531092108473552,1,rena,1.285574146348143,0.1658383662957857,1.0637938382353336,2.791934461786852,300.0,257149.89155388,4326605.6779018,0.4445713525910334,1.5598214390941665
Malpartida de la Serena,6,6,7456.006371409078,15,6,11885.4043739,1.5940711128515077,0,malpartida de la serena,1.2934507663266226,0.1327931513338448,1.0585173888449002,2.2469215882682154,300.0,270449.478434479,4284076.93406681,0.4791693729551309,1.6147326044318127
Peraleda del Zaucejo,16,16,15780.05180248352,16,16,25156.2170577,1.5941783571167254,0,peraleda del zaucejo,1.276829236704212,0.0986473485360787,1.0381274979682968,1.876247089544646,300.0,276349.313082905,4261577.58989138,0.4703371597550014,1.6005337378188007
Magacela,17,3,5063.654660889039,17,3,12503.1548243,2.469195800588974,0,magacela,1.3184046739874618,0.1795872546765981,1.067920694009666,2.560029048989161,300.0,263049.710176429,4308926.20042429,0.5332597087158439,1.704479369061437
EntrÃ­n Bajo,4,4,20470.32232503053,4,4,29754.3436447,1.4535356684793004,0,entran bajo,,,,,,177276.286706572,4292237.39490415,0.43093037519907695,1.538688415352694
Villarta de los Montes,11,11,36837.08753722764,11,11,117130.6867133,3.179694556333409,0,villarta de los montes,2.0331424310870374,0.5400530350457966,1.4447085883172472,5.794300508604257,300.0,345438.831755784,4342153.71911201,0.5637682362976698,1.7572818930129246
Carmonita,41,41,16669.36002121502,41,41,20965.5425556,1.2577293026797218,0,carmonita,1.323074268902902,0.1367734774034125,1.1101429205904143,2.001312042131418,300.0,211568.112826852,4339360.43647563,0.4431357871946038,1.557583819920205
Cristina,3,3,22604.725950182343,3,3,34612.5059647,1.5312066176330177,0,cristina,1.304530839203896,0.1247190589839013,1.1026331216340344,1.7622725778616994,300.0,231126.84850758,4303386.30007753,0.47367279794117684,1.6058814533365386
Hinojosa del Valle,2,1,8932.482838830565,2,1,10362.2552379,1.1600643880169628,0,hinojosa del valle,1.2557124633365695,0.0881700305038094,1.0718504953617034,1.638205303874484,300.0,222290.457466017,4264325.46575369,0.408466000441766,1.5045080992775974
Garbayuela,11,11,11332.1102171275,11,11,15105.8177777,1.3330101356470103,0,garbayuela,1.3918155201480915,0.2775102642055907,1.0952728963507528,4.080978672999146,300.0,327246.742800876,4324276.12668639,0.45227669661227793,1.571886824169705
Puebla del Prior,12,1,2319.326328094571,2,1,3995.5533892,1.722721525126015,0,puebla del prior,1.300244690890701,0.1156297467225641,1.095594169035293,1.909024432079909,300.0,221552.582814066,4274046.07325644,0.46032287229941515,1.5845855211804492
Retamal de Llerena,6,6,23763.070342169063,15,6,35939.8272777,1.512423553025575,0,retamal de llerena,1.2914304993570338,0.1094227131260459,1.1039245344452782,2.0422019131022746,300.0,252850.320044944,4273827.12227472,0.4669937689353516,1.5951914636448963
Mengabril,3,3,6891.672642422954,3,3,11636.4572063,1.6884808391318031,0,mengabril,1.2959126017900415,0.1337885039300106,1.0963242662822823,2.05410477065427,300.0,245900.459149506,4313795.97574382,0.4911551960536077,1.6342029547754033
Malcocinado,10,10,31479.724541745352,10,10,54902.0381253,1.7440444261986554,0,malcocinado,1.2656698004594369,0.143375644517972,1.0703514145583608,2.4328990981689134,300.0,264050.042812532,4222928.581465,0.46646744327014916,1.594352094346847
Valle de Matamoros,5,5,28561.495525222374,5,5,40596.6705077,1.4213776191043457,0,valle de matamoros,1.285073586230406,0.1141359084120508,1.122849546063661,2.507841728889714,300.0,167913.569871452,4254887.61817503,0.44029630626616983,1.553167363558272
Zarza-Capilla,7,7,9876.749252456912,7,7,12881.6754816,1.3042424336525087,0,zarza capilla,1.3776615366442682,0.173737826578061,1.1051038196330192,2.641536751801035,300.0,312897.505378877,4297676.79066143,0.4248612201048596,1.5293781579944967
Higuera de Llerena,10,10,16670.872811743528,10,10,19994.492515,1.199366868237109,0,higuera de llerena,1.2562799147106531,0.0787645761688038,1.0616208008830532,1.6615194994427651,300.0,238151.082715089,4251827.6561949,0.4295056050483842,1.5364976990314851
