origin_id,destination_id,total_cost
2,Mata de Alcántara,179643.2907495
2,Fresnedoso de Ibor,196511.3848816
2,Abadía,231706.0850754
2,Santa Cruz de Paniagua,223194.1773358
2,Villamesías,105245.0157678
2,Santa Marta de Magasca,142956.4134484
2,Santiago del Campo,154015.7833912
2,Robledillo de la Vera,224813.8488898
2,Salvatierra de Santiago,111429.3063977
2,Santa Ana,118357.1766437
2,Peraleda de San Román,212962.4482627
2,Oliva de Plasencia,208198.1372056
2,Herrera de Alcántara,218192.9959258
2,Santa Cruz de la Sierra,116290.5465716
2,Portezuelo,167264.4290062
2,Alcollarín,106031.8823315
2,Viandar de la Vera,235078.9672858
2,Millanes,196010.3147760
2,Marchagaz,235983.1664644
2,Rebollar,225706.9924202
2,Guijo de Coria,205572.7636390
2,Valdemorales,104106.5000436
2,Villar de Plasencia,213494.0827185
2,Ladrillar,272832.9629624
2,Carbajo,189626.4593058
2,Romangordo,172784.6359535
2,Casas de Don Antonio,92822.8483033
2,Valdehúncar,200016.9356520
2,Conquista de la Sierra,120620.2411508
2,Piedras Albas,191019.5391361
2,Collado,215305.1709238
2,Botija,125602.8267578
2,Huélaga,200570.9441993
2,Cerezo,232617.6338152
2,Descargamaría,238345.8658421
2,Segura de Toro,227767.0704589
2,Toril,200942.2039020
2,Mesas de Ibor,210408.5191982
2,Pescueza,194387.0264622
2,Villa del Rey,171833.4974589
2,Jarilla,219818.0968109
2,Casas de Miravete,171813.7377356
2,Gargüera,215307.5968520
2,Robledillo de Gata,241305.1667205
2,Valdecañas de Tajo,219145.6945162
2,Pedroso de Acim,169598.3620439
2,Berrocalejo,223027.6061141
2,Garvín,217299.9645393
2,Higuera,176150.4128713
2,Benquerencia,115869.3687585
2,Cachorrilla,196250.5729028
2,Campillo de Deleitosa,224027.0185016
2,Ruanes,115227.9585597
3,Badajoz,114918.6280125
3,Mérida,52136.9589320
3,Don Benito,8110.5638814
3,Almendralejo,82321.6121212
3,Villanueva de la Serena,17137.7734996
3,Zafra,95832.0763512
3,Montijo,78131.8855259
3,Villafranca de los Barros,75916.9263836
3,Olivenza,141637.8277054
3,Jerez de los Caballeros,133896.1678492
3,Azuaga,98142.3996179
3,"Santos de Maimona. Los",92499.1987105
3,Guareña,37302.4275422
3,Fuente del Maestre,88058.2152160
3,Castuera,52567.4088166
3,Calamonte,62607.5697625
3,Llerena,104200.2199718
3,Puebla de la Calzada,80803.4602793
3,San Vicente de Alcántara,165229.0489819
3,Alburquerque,132339.7459601
3,Aceuchal,87760.0103787
3,Oliva de la Frontera,151013.2301163
3,Talavera la Real,95720.3684065
3,Cabeza del Buey,83218.8237616
3,Campanario,34582.4931900
3,Fregenal de la Sierra,135146.6975329
3,Quintana de la Serena,66418.7011419
3,Fuente de Cantos,115829.7284045
3,Navalvillar de Pela,50134.9055826
3,Monesterio,132521.4459018
3,Santa Amalia,21165.5675507
3,Santa Marta,101115.3580615
3,Arroyo de San Serván,68640.1214222
3,Valverde de Leganés,129120.7169006
